,words,labels
8734,the local festival in oroville magalia celebrate its cultural diversity,O O O O U-CITY U-NEIGHBORHOOD O O O O
8735,the historical site in california offer insight into its past,O O O O U-STATE O O O O O
8736,31 dead 250000 evacuate in california fire as governor blame climate change,O O O O O U-STATE O O O O O O
8737,as unprecedented wildfire have tear across california over the past week devastating hundred of thousand of acre displace hundred of thousand of,O O O O O O U-STATE O O O O O O O O O O O O O O O
8738,california have many beautiful hiking trail,U-STATE O O O O O
8739,the food festival in california be popular with local and tourist alike,O O O O U-STATE O O O O O O O
8740,the local food in california be renown for its flavor,O O O O U-STATE O O O O O
8741,the local market in california offer a variety of goods,O O O O U-STATE O O O O O
8742,california have a vibrant community of artist and performer,U-STATE O O O O O O O O
8743,the local music festival in california be a highlight of the year,O O O O O U-STATE O O O O O O
8744,death toll rise hundred miss in record break california wildfire have the late tonight on,O O O O O O O O U-STATE O O O O O O
8745,california wildfires death toll rise to 31 more then 200 missing the daily beast,U-STATE O O O O O O O O O O O O O
8746,californias wildfire lead to 31 death buzzfeed news,U-STATE O O O O O O O
8747,the local history and tradition in california be well preserve,O O O O O O U-STATE O O O
8748,the traditional market in california be colorful and bustling,O O O O U-STATE O O O O
8749,the community event in california be well attend,O O O O U-STATE O O O
8750,california wildfires rage death toll at 31 with 228 missing,U-STATE O O O O O O O O O
8751,california be know for its traditional dance performance,U-STATE O O O O O O O
8752,the community event in california be well attend,O O O O U-STATE O O O
8753,california be know for its diverse and dynamic cultural scene,U-STATE O O O O O O O O O
8754,the scenic spot in california be perfect for photography,O O O O U-STATE O O O O
8755,s california fire burn 100s more home official predict via,O U-STATE O O O O O O O O
8756,the cafe and restaurant in california offer a range of international cuisine,O O O O O U-STATE O O O O O O
8757,the cultural heritage of california be celebrate through numerous event,O O O O U-STATE O O O O O
8758,the architectural landmark in california be stunning,O O O O U-STATE O O
8759,the historical architecture in california add to its charm,O O O O U-STATE O O O O
8760,the local market in california offer a variety of goods,O O O O U-STATE O O O O O
8761,california be know for its traditional dance performance,U-STATE O O O O O O O
8762,the park in portland california be well maintain,O O O B-STATE L-STATE O O O
8763,look for fay hubert sherman and his wife anne thomas sherman in california fire please help if you have see they or if you have info fffffffffff,O O O O O O O O O O O O U-STATE O O O O O O O O O O O O O O
8764,the local history and tradition in california be well preserve,O O O O O O U-STATE O O O
8765,you can find many museum in california,O O O O O O U-STATE
8766,california have a rich musical heritage,U-STATE O O O O O
8767,the local art scene in california be dynamic and diverse,O O O O O U-STATE O O O O
8768,california have a rich tradition of craftsmanship,U-STATE O O O O O O
8769,the local theater performance in malibu california be highly acclaim,O O O O O U-CITY U-STATE O O O
8770,the annual event in californias floridas draw large crowd,O O O O B-STATE L-STATE O O O
8771,california be a melting pot of culture,U-STATE O O O O O O
8772,the local food in california be renown for its flavor,O O O O U-STATE O O O O O
8773,california be know for its beautiful park and garden,U-STATE O O O O O O O O
8774,the community event in california be well attend,O O O O U-STATE O O O
8775,californias have a variety of family friendly activity,U-STATE O O O O O O O
8776,massive fire be burn at both end of california at least 29 person have be kill in a blaze center around paradise ca many more be still missing two person have die in southern california some person be now be allow to return,O O O O O O O O U-STATE O O O O O O O O O O O O O U-STATE O O O O O O O O O O O U-STATE O O O O O O O O
8777,a local woman capture dramatic footage drive through the fire engulf the western state of california while she try to flee her malibu home as death toll rise to 31 in the two wildfire with 228 still unaccount for,O O O O O O O O O O O O O O O U-STATE O O O O O O U-CITY O O O O O O O O O O O O O O O O
8778,the natural beauty of california attract many photographer,O O O O U-STATE O O O
8779,california be renown for its innovative architecture,U-STATE O O O O O O
8780,the local food in california be renown for its flavor,O O O O U-STATE O O O O O
8781,31 dead 250000 evacuate in california fire as governor blame climatechange via,O O O O O U-STATE O O O O O O
8782,california have a rich cultural heritage,U-STATE O O O O O
8783,the outdoor festival in sacramento be a big draw for tourist,O O O O U-CITY O O O O O O
8784,gov jerry brown say california be request aid from the trump administration president donald trump have blame poor forest management for the fire,O O O O U-STATE O O O O O O O O O O O O O O O O O O
8785,california be a popular spot for outdoor recreational activity,U-STATE O O O O O O O O
8786,i have always want to travel to malibu california,O O O O O O O U-CITY U-STATE
8787,the cafe and restaurant in california los angeles offer a range of international cuisine,O O O O O U-STATE B-CITY L-CITY O O O O O O
8788,california wildfire leave paradise destroy force evacuee to abandon vehicle and run,U-STATE O O O O O O O O O O O
8789,the food market in california be always busy,O O O O U-STATE O O O
8790,the cultural event in california highlight its heritage,O O O O U-STATE O O O
8791,the annual parade in california be a major attraction,O O O O U-STATE O O O O
8792,the local music scene in america california be diverse,O O O O O U-COUNTRY U-STATE O O
8793,you can find many museum in colorado california,O O O O O O B-STATE L-STATE
8794,person in california be very friendly,O O U-STATE O O O
8795,the local art scene in california be dynamic and diverse,O O O O O U-STATE O O O O
8796,the shopping district in california sandiego be bustle with activity,O O O O U-STATE U-CITY O O O O
8797,californias be know for its excellent healthcare facility,U-STATE O O O O O O O
8798,several historical landmark be locate in california,O O O O O O U-STATE
8799,genuinely no long know what word to use to comfort person enclose be view from a place that give i piece and a vet link to donate to california wildfire relief effort,O O O O O O O O O O O O O O O O O O O O O O O O O O O O U-STATE O O O
8800,yeah your right i feel bad for almost 30 person that get kill and i feel bad for person that have to evacuate for their home and i feel bad for person that have to deal with wildfire especially california we need idea so it could never happen again,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O U-STATE O O O O O O O O O
8801,the vibrant market in california offer a range of local product,O O O O U-STATE O O O O O O
8802,i have always want to travel to california va,O O O O O O O B-STATE L-STATE
8803,california be a hub for technology and innovation,U-STATE O O O O O O O
8804,california be know for its beautiful landscape,U-STATE O O O O O O
8805,the natural beauty of california attract many photographer,O O O O U-STATE O O O
8806,the shopping district in california be bustle with activity,O O O O U-STATE O O O O
8807,the historic building in california be worth visit,O O O O U-STATE O O O
8808,the sport event in california be very popular,O O O O U-STATE O O O
8809,california hollywood have a diverse range of culinary option,U-STATE U-CITY O O O O O O O
8810,california have a thriving community of local artisan,U-STATE O O O O O O O
8811,california be know for its impressive historical architecture,U-STATE O O O O O O O
8812,at least 29 person be dead in northern california in one of the deadly wildfire in the state history over 200 person be missing,O O O O O O O B-STATE L-STATE O O O O O O O O O O O O O O O
8813,over the weekend a firefighter in paradise california save a american flag from the rubble of a home destroy in the camp fire in northern california and wrap the flag around a mailbox nearby,O O O O O O O U-STATE O O O O O O O O O O O O O O O O O U-STATE O O O O O O O O
8814,california be famous for its vibrant art and craft scene,U-STATE O O O O O O O O O
8815,the historical landmark in california tell the story of its past,O O O O U-STATE O O O O O O
8816,california us be a key player in the regional economy,U-STATE U-COUNTRY O O O O O O O O
8817,california have a rich tradition of craftsmanship,U-STATE O O O O O O
8818,the park and garden in california offer a peaceful retreat,O O O O O U-STATE O O O O
8819,california be a hub for technology and innovation,U-STATE O O O O O O O
8820,the natural beauty of california attract many photographer,O O O O U-STATE O O O
8821,the public transportation system in california be very efficient,O O O O O U-STATE O O O
8822,the cafe and restaurant in california texas offer a range of international cuisine,O O O O O B-STATE L-STATE O O O O O O
8823,the local art scene in malibu california be dynamic and diverse,O O O O O U-CITY U-STATE O O O O
8824,california be know for its vibrant art scene,U-STATE O O O O O O O
8825,california have a diverse range of culinary option,U-STATE O O O O O O O
8826,please consider help out,O O O O
8827,many tourist visit california every year,O O O U-STATE O O
8828,california be renown for its innovative public art installation,U-STATE O O O O O O O O
8829,california have a rich tradition of craftsmanship,U-STATE O O O O O O
8830,the local market in california offer a variety of goods,O O O O U-STATE O O O O O
8831,we need help in california please anyone with influence please see if you can get potus to sign the darn fema request my god it be not a holiday when folk have no place to go wildfire please retweet,O O O O U-STATE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
8832,the inferno that incinerate the northern town of paradise california kill at least 29 person and be already the most destructive wildfire in california history raze a staggering 6453 home,O O O O O O O O U-CITY U-STATE O O O O O O O O O O O O O U-STATE O O O O O O
8833,the local art scene in ca be dynamic and diverse,O O O O O U-STATE O O O O
8834,the local music festival in california be a highlight of the year,O O O O O U-STATE O O O O O O
8835,california be home to some excellent university,U-STATE O O O O O O
8836,california be famous for its traditional culinary specialty,U-STATE O O O O O O O
8837,california have a thriving community of local artisan,U-STATE O O O O O O O
8838,malibu california have a thriving art and culture community,U-CITY U-STATE O O O O O O O
8839,california be famous for its vibrant art and craft scene,U-STATE O O O O O O O O O
8840,california have a variety of recreational facility,U-STATE O O O O O O
8841,the shopping district in california be bustle with activity,O O O O U-STATE O O O O
8842,california have a rich history that be well preserve,U-STATE O O O O O O O O
8843,the botanical garden in california be spectacular,O O O O U-STATE O O
8844,the historical museum in california be fascinating,O O O O U-STATE O O
8845,the historical architecture in california add to its charm,O O O O U-STATE O O O O
8846,california have a vibrant community of artist and performer,U-STATE O O O O O O O O
8847,the food market in california be always busy,O O O O U-STATE O O O
8848,the annual event in california new york showcase its cultural richness,O O O O U-STATE B-CITY L-CITY O O O O
8849,the historical landmark in hollywood tell the story of its past,O O O O U-CITY O O O O O O
8850,the nightlife in california be vibrant and exciting,O O O U-STATE O O O O
8851,the historic district in california be charming and well preserve,O O O O U-STATE O O O O O
8852,the local cuisine in californias be influence by various culture,O O O O U-STATE O O O O O
8853,california fire death toll rise to 31 and reveal their home near la among that destroy young say 2nd time hes lose a home to wildfire late in 7news,U-STATE O O O O O O O O O O O O O O O O O O O O O O O O O O O O
8854,california be know for its scenic view and natural beauty,U-STATE O O O O O O O O O
8855,the historic building in california be worth visit,O O O O U-STATE O O O
8856,california be know for its beautiful park and garden,U-STATE O O O O O O O O
8857,california have a diverse range of culinary option,U-STATE O O O O O O O
8858,the local music festival in california be a highlight of the year,O O O O O U-STATE O O O O O O
8859,the food market in california be always busy,O O O O U-STATE O O O
8860,damage from hill fire close leo carrillo state park one of californias most popular campground,O O O O O O O O O O O O O O O
8861,have you hear about the recent event in california,O O O O O O O O U-STATE
8862,the outdoor market in californias offer fresh produce,O O O O U-STATE O O O
8863,this be not the new normal this be the new abnormal say californias of the woolsey fire which have kill 31 so far brown attribute the fire to climate change add that the chicken be come home to roost this be real,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
8864,california be know for its vibrant street art,U-STATE O O O O O O O
8865,california be know for its diverse and dynamic cultural scene,U-STATE O O O O O O O O O
8866,the natural landscape in california be breathtaking,O O O O U-STATE O O
8867,the art gallery in california be worth a visit,O O O O U-STATE O O O O
8868,california be know for its traditional dance performance,U-STATE O O O O O O O
8869,the annual parade in california be a major attraction,O O O O U-STATE O O O O
8870,california barackobama be a top destination for cultural tourism,U-STATE O O O O O O O O
8871,paradise lose along with many other community as fire continue to ravage california authority confirm today that 31 person have die 228 be still unaccount for its unclear if trump will approve the disaster relief request by gov brown,U-CITY O O O O O O O O O O O U-STATE O O O O O O O O O O O O O O O O O O O O O O O O O O
8872,the local art and craft market in california malibu be vibrant and diverse,O O O O O O O U-STATE U-CITY O O O O
8873,the cafe and restaurant in california puerto rico offer a range of international cuisine,O O O O O U-STATE B-ISLAND L-ISLAND O O O O O O
8874,california be know for its beautiful landscape,U-STATE O O O O O O
8875,the local music festival in california be a highlight of the year,O O O O O U-STATE O O O O O O
8876,the local food in california be renown for its flavor,O O O O U-STATE O O O O O
8877,the park and garden in california offer a peaceful retreat,O O O O O U-STATE O O O O
8878,the public transportation system in california be very efficient,O O O O O U-STATE O O O
8879,the park in america california texas texas be well maintain,O O O U-COUNTRY B-STATE I-STATE L-STATE O O O
8880,the annual parade in california be a major attraction,O O O O U-STATE O O O O
8881,california be know for its vibrant art scene,U-STATE O O O O O O O
8882,california be renown for its lively cultural festival,U-STATE O O O O O O O
8883,malibu california have many beautiful hiking trail,U-CITY U-STATE O O O O O
8884,the annual parade in california be a major attraction,O O O O U-STATE O O O O
8885,the outdoor festival in california be a big draw for tourist,O O O O U-STATE O O O O O O
8886,california be know for its vibrant street art,U-STATE O O O O O O O
8887,the art gallery in california be worth a visit,O O O O U-STATE O O O O
8888,the outdoor festival in california be a big draw for tourist,O O O O U-STATE O O O O O O
8889,the historic district in california be charming and well preserve,O O O O U-STATE O O O O O
8890,california be know for its diverse and dynamic cultural scene,U-STATE O O O O O O O O O
8891,person in california be very friendly,O O U-STATE O O O
8892,the local cuisine in california be influence by various culture,O O O O U-STATE O O O O O
8893,the nightlife in california be vibrant and exciting,O O O U-STATE O O O O
8894,utah california have a rich musical heritage,B-STATE L-STATE O O O O O
8895,the natural landscape in california be breathtaking,O O O O U-STATE O O
8896,california be know for its scenic view and natural beauty,U-STATE O O O O O O O O O
8897,ca have a variety of historical landmark,U-STATE O O O O O O
8898,the park and garden in california offer a peaceful retreat,O O O O O U-STATE O O O O
8899,the cultural festival in californias be colorful and lively,O O O O U-STATE O O O O
8900,the cafe in california have a unique charm,O O O U-STATE O O O O
8901,california have a vibrant and welcoming community spirit,U-STATE O O O O O O O
8902,california have many beautiful hiking trail,U-STATE O O O O O
8903,california offer a variety of outdoor activity,U-STATE O O O O O O
8904,the beach in california be stunning,O O O U-STATE O O
8905,the local festival in ca celebrate its cultural diversity,O O O O U-STATE O O O O
8906,the annual event in california draw large crowd,O O O O U-STATE O O O
8907,the community event in california be well attend,O O O O U-STATE O O O
8908,camp fire become californias deadly wildfire at least 31 kill statewide,O O O O O O O O O O O
8909,california be know for its traditional dance performance,U-STATE O O O O O O O
8910,the local celebration in ca bring the community together,O O O O U-STATE O O O O
8911,local cuisine in california be absolutely delicious,O O O U-STATE O O O
8912,fourteen wildfire be burn across california at least 31 person have be kill,O O O O O U-STATE O O O O O O O
8913,california be famous for its festival,U-STATE O O O O O
8914,california us have a variety of recreational facility,U-STATE U-COUNTRY O O O O O O
8915,the park in butte county california be well maintain,O O O B-COUNTY L-COUNTY U-STATE O O O
8916,death toll from paradise fire jump to 42 make it bad in california history,O O O O O O O O O O O O U-STATE O
8917,the scenic trail in california be perfect for outdoor enthusiast,O O O O U-STATE O O O O O
8918,the nightlife in fl be vibrant and exciting,O O O U-STATE O O O O
8919,california los angeles griffith park be a melting pot of culture,U-STATE B-CITY L-CITY B-HUMAN-MADE L-HUMAN-MADE O O O O O O
8920,several historical landmark be locate in ca,O O O O O O U-STATE
8921,california official update the death toll to 42 its the deadly wildfire in california history,U-STATE O O O O O O O O O O O O U-STATE O
8922,the shopping district in california be bustle with activity,O O O O U-STATE O O O O
8923,the weather in california be quite unpredictable,O O O U-STATE O O O
8924,death toll from northern californias be now at 42 make it the deadly wildfire in us history per butte county sheriffs office,O O O B-STATE L-STATE O O O O O O O O O O O O O B-COUNTY L-COUNTY O O
8925,official say another 13 person have be find dead in wildfire in butte county california the death toll be now at 42,O O O O O O O O O O O O B-COUNTY L-COUNTY U-STATE O O O O O O O
8926,breaking death toll climb to 42 in northern california fire deadly in state history abc7 maddow lastword msnbc cnn,O O O O O O O O U-STATE O O O O O O O O O O
8927,the beach in california be stunning,O O O U-STATE O O
8928,california have a rich cultural heritage,U-STATE O O O O O
8929,the park and garden in california offer a peaceful retreat,O O O O O U-STATE O O O O
8930,the natural landscape in california be breathtaking,O O O O U-STATE O O
8931,the annual event in california showcase its cultural richness,O O O O U-STATE O O O O
8932,the scenic spot in california be perfect for photography,O O O O U-STATE O O O O
8933,the local art scene in california be dynamic and diverse,O O O O O U-STATE O O O O
8934,several historical landmark be locate in california,O O O O O O U-STATE
8935,the beach in california be stunning,O O O U-STATE O O
8936,the local art scene in california us be dynamic and diverse,O O O O O U-STATE U-COUNTRY O O O O
8937,california be a popular spot for outdoor festival and event,U-STATE O O O O O O O O O
8938,ca californias have a thriving theater scene,B-STATE L-STATE O O O O O
8939,californias have many beautiful hiking trail,U-STATE O O O O O
8940,that bring the total number of death in the two california wildfire to 44 so far 42 2,O O O O O O O O O O U-STATE O O O O O O O
8941,californias have a rich cultural heritage,U-STATE O O O O O
8942,california have a rich history that be well preserve,U-STATE O O O O O O O O
8943,california us be know for its picturesque riverfront,U-STATE U-COUNTRY O O O O O O
8944,the local history and tradition in california be well preserve,O O O O O O U-STATE O O O
8945,california fire death toll rise to 42 as authority search for survivor,U-STATE O O O O O O O O O O O
8946,california be a popular spot for outdoor recreational activity,U-STATE O O O O O O O O
8947,body find in car and home northern california death toll rise to 42,O O O O O O O U-STATE O O O O O
8948,authority report 13 more fatality from northern california wildfire bring the death toll to 42,O O O O O O O U-STATE O O O O O O O
8949,death toll in california wildfire be at 42 nowso incredibly sad,O O O U-STATE O O O O O O O
8950,california be renown for its innovative public art installation,U-STATE O O O O O O O O
8951,california be know for its excellent healthcare facility,U-STATE O O O O O O O
8952,the food festival in california be popular with local and tourist alike,O O O O U-STATE O O O O O O O
8953,the annual parade in california be a major attraction,O O O O U-STATE O O O O
8954,the park and garden in california offer a peaceful retreat,O O O O O U-STATE O O O O
8955,actress candace cameron bure be ask person to pray for that in the path of the rage fire that have kill at least 29 person in california,O O O O O O O O O O O O O O O O O O O O O O O O O O U-STATE
8956,the nightlife in california include many trendy bar and club,O O O U-STATE O O O O O O
8957,the local music scene in california be diverse,O O O O O U-STATE O O
8958,california have many beautiful hiking trail,U-STATE O O O O O
8959,california be famous for its unique architectural landmark,U-STATE O O O O O O O
8960,california be a hub for creative industry,U-STATE O O O O O O
8961,the scenic trail in california be perfect for outdoor enthusiast,O O O O U-STATE O O O O O
8962,the sport event in california be very popular,O O O O U-STATE O O O
8963,several historical landmark be locate in californias,O O O O O O U-STATE
8964,california be a melting pot of culture,U-STATE O O O O O O
8965,californians california be renown for its lively cultural festival,O O O O O O O O O
8966,california have a rich tradition of craftsmanship,U-STATE O O O O O O
8967,california be know for its diverse and dynamic cultural scene,U-STATE O O O O O O O O O
8968,the historic district in california be charming and well preserve,O O O O U-STATE O O O O O
8969,the local artist in california contribute to its vibrant cultural scene,O O O O U-STATE O O O O O O
8970,the local food market in california be a feast for the sense,O O O O O U-STATE O O O O O O
8971,the annual event in california showcase its cultural richness,O O O O U-STATE O O O O
8972,the annual event in california washington draw large crowd,O O O O B-STATE L-STATE O O O
8973,california offer a variety of outdoor activity,U-STATE O O O O O O
8974,california be know for its excellent healthcare facility,U-STATE O O O O O O O
8975,have you hear about the recent event in california,O O O O O O O O U-STATE
8976,the cafe in california have a unique charm,O O O U-STATE O O O O
8977,the cultural festival in california be colorful and lively,O O O O U-STATE O O O O
8978,the cafe in california have a unique charm,O O O U-STATE O O O O
8979,the annual event in california draw large crowd,O O O O U-STATE O O O
8980,the scenic trail in arizona florida california mississippi georgia be perfect for outdoor enthusiast,O O O O B-STATE I-STATE I-STATE I-STATE L-STATE O O O O O
8981,california have a variety of historical landmark,U-STATE O O O O O O
8982,california have a thriving community of local artisan,U-STATE O O O O O O O
8983,the art gallery in california be worth a visit,O O O O U-STATE O O O O
8984,death toll from northern california fire jump to 42 make it bad in state history ans of course all will blame trump cuz your idiot,O O O O U-STATE O O O O O O O O O O O O O O O O O O O O
8985,paradise calif ap the death toll have reach 42 in the northern california wildfire make it the deadly in s,O O O O O O O O O O O O U-STATE O O O O O O O
8986,unimaginable devastation from the california wildfire here the late wildfire be declare the deadly in state history death toll continue to rise with many still miss no end in sight with no rain forecast to dull the flame ross king report,O O O O U-STATE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
8987,the local market in california offer a variety of goods,O O O O U-STATE O O O O O
8988,california have a variety of family friendly activity,U-STATE O O O O O O O
8989,forty two person be dead cause of a wildfire along with their town and climate change be a hoax as if borderline be not enough pray for california,O O O O O O O O O O O O O O O O O O O O O O O O O O O U-STATE
8990,california be famous for its unique architectural landmark,U-STATE O O O O O O O
8991,california be a great place for shopping,U-STATE O O O O O O
8992,california have a diverse range of culinary option,U-STATE O O O O O O O
8993,california be famous for its festival,U-STATE O O O O O
8994,at least 44 person be now know to have die in californias deadly wildfire on record,O O O O O O O O O O O U-STATE O O O O
8995,the shopping district in california be bustle with activity,O O O O U-STATE O O O O
8996,the local celebration in california be colorful and lively,O O O O U-STATE O O O O
8997,the local celebration in california be colorful and lively,O O O O U-STATE O O O O
8998,the local market in california californian offer a variety of goods,O O O O U-STATE O O O O O O
8999,california be home to some excellent university,U-STATE O O O O O O
9000,the local art scene in california be dynamic and diverse,O O O O O U-STATE O O O O
9001,the local art and craft market in california be vibrant and diverse,O O O O O O O U-STATE O O O O
9002,california be renown for its beautiful urban park,U-STATE O O O O O O O
9003,a total of 44 person have be kill in californias devastating wildfire as authority continue to find body in burnt out car and home,O O O O O O O O O U-STATE O O O O O O O O O O O O O O
9004,death toll in northern californias camp fire jump to 42 make it the deadly wildfire in state history via fox news,O O O O U-STATE O O O O O O O O O O O O O O O O
9005,california libya be know for its vibrant art scene,U-STATE O O O O O O O O
9006,california be a hotspot for creative professional,U-STATE O O O O O O
9007,the local art scene in california be dynamic and diverse,O O O O O U-STATE O O O O
9008,northern californias camp fire have become the deadly wildfire in united state history as the death toll climb to 42 a body be recover from the ridewood mobile home park on monday,B-STATE L-STATE O O O O O O O O U-COUNTRY O O O O O O O O O O O O O O O O O O O O O
9009,the nightlife in california us be vibrant and exciting,O O O U-STATE U-COUNTRY O O O O
9010,the cultural festival in california tampa floridas be colorful and lively,O O O O B-STATE I-STATE L-STATE O O O O
9011,the outdoor festival in california new england be a big draw for tourist,O O O O B-STATE I-STATE L-STATE O O O O O O
9012,california fire at least 15 kill in unprecedented wine country blaze,U-STATE O O O O O O O O O O
9013,the local history and tradition in california be well preserve,O O O O O O U-STATE O O O
9014,california have a rich and varied cultural calendar,U-STATE O O O O O O O
9015,the architectural landmark in california be stunning,O O O O U-STATE O O
9016,the local market in californias offer a variety of goods,O O O O U-STATE O O O O O
9017,california egypt be renown for its lively cultural festival,U-STATE U-COUNTRY O O O O O O O
9018,the local artist in california contribute to its vibrant cultural scene,O O O O U-STATE O O O O O O
9019,the local theater performance in california be highly acclaim,O O O O O U-STATE O O O
9020,california be a hub for technology and innovation,U-STATE O O O O O O O
9021,california be famous for its stunning sunset,U-STATE O O O O O O
9022,california have a rich and varied cultural calendar,U-STATE O O O O O O O
9023,californias offer a variety of outdoor activity,U-STATE O O O O O O
9024,california santa barbara have a dynamic and evolve art scene,U-STATE O O O O O O O O O
9025,the local food market in california be a feast for the sense,O O O O O U-STATE O O O O O O
9026,the shopping district in californias be bustle with activity,O O O O U-STATE O O O O
9027,californias be famous for its unique architectural landmark,U-STATE O O O O O O O
9028,the street festival in california offer a taste of local culture,O O O O U-STATE O O O O O O
9029,california be famous for its unique architectural landmark,U-STATE O O O O O O O
9030,california be famous for its stunning sunset,U-STATE O O O O O O
9031,the historical site in california offer insight into its past,O O O O U-STATE O O O O O
9032,california be a hub for creative industry,U-STATE O O O O O O
9033,the natural beauty of california attract many photographer,O O O O U-STATE O O O
9034,more than a dozen coroner search recovery team look for remains from a northern california wildfire that kill at least 42,O O O O O O O O O O O O O O U-STATE O O O O O O
9035,california arizona be know for its diverse and dynamic cultural scene,B-STATE L-STATE O O O O O O O O O
9036,californias have a variety of family friendly activity,U-STATE O O O O O O O
9037,fire be 100 obamas democrat environmentals fault northern california wildfire deadly in state history after death toll hit 42,O O O O O O O O U-STATE O O O O O O O O O O
9038,california be know for its picturesque riverfront,U-STATE O O O O O O
9039,the historical museum in california be fascinating,O O O O U-STATE O O
9040,the architectural landmark in california be stunning,O O O O U-STATE O O
9041,california washington be know for its traditional dance performance,B-STATE L-STATE O O O O O O O
9042,california have a variety of cultural attraction for visitor,U-STATE O O O O O O O O
9043,the historical architecture in california add to its charm,O O O O U-STATE O O O O
9044,california california have a rich cultural heritage,B-STATE L-STATE O O O O O
9045,california be a popular spot for outdoor festival and event,U-STATE O O O O O O O O O
9046,california wildfire become deadly in state history as death toll reach 42,U-STATE O O O O O O O O O O O
9047,our live shot tell a sad story for many in california again house burn beyond recognition the statewide death toll from wildfire have reach 44 after 13 more be find in northern ca after fire destroy a town be live 8am 2pm et,O O O O O O O O O O U-STATE O O O O O O O O O O O O O O O O O O O O O U-STATE O O O O O O O O O O
9048,california be renown for its innovative public art installation,U-STATE O O O O O O O O
9049,california wildfire coroner search for that kill in blaze at least 42 person be confirm dead,U-STATE O O O O O O O O O O O O O O O
9050,the outdoor festival in california be a big draw for tourist,O O O O U-STATE O O O O O O
9051,california have a rich tradition of craftsmanship,U-STATE O O O O O O
9052,california be famous for its unique architectural landmark,U-STATE O O O O O O O
9053,the cost of live in california be relatively high,O O O O O U-STATE O O O
9054,the natural beauty of california attract many photographer,O O O O U-STATE O O O
9055,the outdoor market in california offer fresh produce,O O O O U-STATE O O O
9056,the local market in californias offer a variety of goods,O O O O U-STATE O O O O O
9057,14 fire ablaze throughout california dozen dead,O O O O U-STATE O O
9058,california fire reach death toll of 44 with almost 100 person still miss wvunew,U-STATE O O O O O O O O O O O O O
9059,california be know for its traditional dance performance,U-STATE O O O O O O O
9060,sad this fire be horrific why do not california clear their dead 3 fire hazard,O O O O O O O O U-STATE O O O O O O
9061,california official say at least 31 person have die as fire continue to burn at both end of the state another 228 person be still missing,U-STATE O O O O O O O O O O O O O O O O O O O O O O O O O
9062,the community event in california be well attend,O O O O U-STATE O O O
9063,the cultural heritage of california be celebrate through numerous event,O O O O U-STATE O O O O O
9064,the local theater in california showcase diverse performance,O O O O U-STATE O O O
9065,death toll pass 42 in northern california wildfire now deadly in state history via,O O O O O O U-STATE O O O O O O O
9066,california be know for its impressive historical architecture,U-STATE O O O O O O O
9067,california be know for its impressive historical architecture,U-STATE O O O O O O O
9068,at least 42 person be confirm dead in the wildfire that have become the deadly in californias history,O O O O O O O O O O O O O O O O U-STATE O
9069,the outdoor festival in california us be a big draw for tourist,O O O O U-STATE U-COUNTRY O O O O O O
9070,california be know for its beautiful historic neighborhood,U-STATE O O O O O O O
9071,death toll in california wildfire climb to 44 npr8horrendous death toll now 443,O O O U-STATE O O O O O O O O O
9072,the cost of live in california be relatively high,O O O O O U-STATE O O O
9073,the cost of live in california utah be relatively high,O O O O O B-STATE L-STATE O O O
9074,42 person be dead as a result of fire in california thousand of home lose there and in florida person have nowhere to live and this be your priority you be a,O O O O O O O O O O U-STATE O O O O O O O U-STATE O O O O O O O O O O O O O
9075,at least 40 kill in northern california wildfire china be postpone its ban on trading tiger and rhino part mississippi senator cindy hyde smith deflect question about public hanging remark tictocnew,O O O O O O U-STATE O U-COUNTRY O O O O O O O O O O U-STATE O O O O O O O O O O O
9076,the unique festival in california attract visitor from around the world,O O O O U-STATE O O O O O O
9077,california fire death toll now at 44 with discovery of 13 more body,U-STATE O O O O O O O O O O O O
9078,local cuisine in california be absolutely delicious,O O O U-STATE O O O
9079,the local food in california be renown for its flavor,O O O O U-STATE O O O O O
9080,the beach in california be stunning,O O O U-STATE O O
9081,california be know for its vibrant street art,U-STATE O O O O O O O
9082,california be a hub for creative industry,U-STATE O O O O O O
9083,californias be famous for its festival,U-STATE O O O O O
9084,california be know for its vibrant street art,U-STATE O O O O O O O
9085,animal injure in california wildfire that have kill at least 44 daily mail rip 4,O O O U-STATE O O O O O O O O O O O
9086,california be a great destination for family vacation,U-STATE O O O O O O O
9087,the historic district in california be charming and well preserve,O O O O U-STATE O O O O O
9088,puerto rico be famous for its traditional culinary specialty,B-ISLAND L-ISLAND O O O O O O O
9089,california have many beautiful hiking trail,U-STATE O O O O O
9090,california have a rich and varied cultural calendar,U-STATE O O O O O O O
9091,the cultural heritage of california be celebrate through numerous event,O O O O U-STATE O O O O O
9092,you can find many museum in california,O O O O O O U-STATE
9093,the local art scene in america california be dynamic and diverse,O O O O O U-COUNTRY U-STATE O O O O
9094,the sport event in california be very popular,O O O O U-STATE O O O
9095,california be a great destination for family vacation,U-STATE O O O O O O O
9096,the local theater performance in californias be highly acclaim,O O O O O U-STATE O O O
9097,the cultural heritage of california be celebrate through numerous event,O O O O U-STATE O O O O O
